Specificity,Sensitivity,Balanced Accuracy,F1
0.9785690735245631,0.9134007585335019,0.9459849160290326,0.9445987906520674
0.9667994687915007,0.9208791208791208,0.9438392948353107,0.9433901576069476
0.4702457956015524,0.8837359098228663,0.6769908527122094,0.7330038733805264
0.9840857421240663,0.896407953816549,0.9402468479703077,0.9376048305937603
0.9803085001640959,0.9085714285714286,0.9444399643677622,0.9426877470355731
0.9761070404587449,0.8368214519293656,0.9064642461940553,0.8991567111735769
0.9627799736495388,0.9177475482442266,0.9402637609468827,0.9395951417004049
0.9725982172334103,0.8800505050505051,0.9263243611419577,0.9233316774300381
0.9862249918005903,0.8875476493011436,0.936886320550867,0.9338235294117647
0.9814630916914929,0.89955919395466,0.9405111428230765,0.9384135325997701
